Table 1,ANZSOC Division,Year Month,Victimisations, Month Year,ANZSOC Group,ANZSOC Subdivision,Area Unit,Location Type,Locn Type Division,Meshblock,Number of Records,Occurrence Day Of Week,Occurrence Hour Of Day,Territorial Authority,Weapon,Year Month (copy 2)
1 Victimisation Time and Place,Theft,November 2024,1,November 2024,Theft of motor vehicle parts or contents,Motor vehicle theft and related offences,Waltham.,.,Community Location,2624501,1,UNKNOWN,99,Christchurch City.,Not Applicable,November 2024
1 Victimisation Time and Place,Theft,November 2024,1,November 2024,Theft of motor vehicle parts or contents,Motor vehicle theft and related offences,Westburn.,.,Community Location,2535500,1,UNKNOWN,99,Christchurch City.,Not Applicable,November 2024
1 Victimisation Time and Place,Theft,November 2024,1,November 2024,Theft of motor vehicle parts or contents,Motor vehicle theft and related offences,Westhaven.,.,Community Location,2506308,1,UNKNOWN,99,Christchurch City.,Not Applicable,November 2024
1 Victimisation Time and Place,Theft,November 2024,1,November 2024,Theft of motor vehicle parts or contents,Motor vehicle theft and related offences,Wharenui.,.,Community Location,2540100,1,UNKNOWN,99,Christchurch City.,Not Applicable,November 2024
1 Victimisation Time and Place,Theft,November 2024,1,November 2024,Theft of motor vehicle parts or contents,Motor vehicle theft and related offences,Wigram.,.,Community Location,2481605,1,UNKNOWN,99,Christchurch City.,Not Applicable,November 2024
1 Victimisation Time and Place,Theft,November 2024,1,November 2024,Theft of motor vehicle parts or contents,Motor vehicle theft and related offences,Woolston South.,.,Community Location,2588100,1,UNKNOWN,99,Christchurch City.,Not Applicable,November 2024
1 Victimisation Time and Place,Theft,November 2024,1,November 2024,Theft of motor vehicle parts or contents,Motor vehicle theft and related offences,Fernhill.,.,Community Location,2895500,1,UNKNOWN,99,Dunedin City.,Not Applicable,November 2024
1 Victimisation Time and Place,Theft,November 2024,1,November 2024,Theft of motor vehicle parts or contents,Motor vehicle theft and related offences,High St-Stuart St.,.,Community Location,2899800,1,UNKNOWN,99,Dunedin City.,Not Applicable,November 2024
1 Victimisation Time and Place,Theft,November 2024,1,November 2024,Theft of motor vehicle parts or contents,Motor vehicle theft and related offences,Mosgiel East.,.,Community Location,2966603,1,UNKNOWN,99,Dunedin City.,Not Applicable,November 2024
1 Victimisation Time and Place,Theft,November 2024,1,November 2024,Theft of motor vehicle parts or contents,Motor vehicle theft and related offences,Otago University.,.,Community Location,2867800,1,UNKNOWN,99,Dunedin City.,Not Applicable,November 2024
1 Victimisation Time and Place,Theft,November 2024,1,November 2024,Theft of motor vehicle parts or contents,Motor vehicle theft and related offences,St Clair.,.,Community Location,2926000,1,UNKNOWN,99,Dunedin City.,Not Applicable,November 2024
1 Victimisation Time and Place,Theft,November 2024,1,November 2024,Theft of motor vehicle parts or contents,Motor vehicle theft and related offences,St Kilda Central.,.,Community Location,2949100,1,UNKNOWN,99,Dunedin City.,Not Applicable,November 2024
1 Victimisation Time and Place,Theft,November 2024,1,November 2024,Theft of motor vehicle parts or contents,Motor vehicle theft and related offences,Wakari.,.,Community Location,2887000,1,UNKNOWN,99,Dunedin City.,Not Applicable,November 2024
1 Victimisation Time and Place,Theft,November 2024,1,November 2024,Theft of motor vehicle parts or contents,Motor vehicle theft and related offences,Haruru Falls.,.,Community Location,50701,1,UNKNOWN,99,Far North District.,Not Applicable,November 2024
1 Victimisation Time and Place,Theft,November 2024,1,November 2024,Theft of motor vehicle parts or contents,Motor vehicle theft and related offences,Hokianga South.,.,Community Location,25500,1,UNKNOWN,99,Far North District.,Not Applicable,November 2024
1 Victimisation Time and Place,Theft,November 2024,1,November 2024,Theft of motor vehicle parts or contents,Motor vehicle theft and related offences,Kaikohe.,.,Community Location,41000,1,UNKNOWN,99,Far North District.,Not Applicable,November 2024
1 Victimisation Time and Place,Theft,November 2024,1,November 2024,Theft of motor vehicle parts or contents,Motor vehicle theft and related offences,Kapiro.,.,Community Location,43906,1,UNKNOWN,99,Far North District.,Not Applicable,November 2024
1 Victimisation Time and Place,Theft,November 2024,1,November 2024,Theft of motor vehicle parts or contents,Motor vehicle theft and related offences,Te Hapara.,.,Community Location,1366400,1,UNKNOWN,99,Gisborne District.,Not Applicable,November 2024
1 Victimisation Time and Place,Theft,November 2024,1,November 2024,Theft of motor vehicle parts or contents,Motor vehicle theft and related offences,Wharekaka.,.,Community Location,1356000,1,UNKNOWN,99,Gisborne District.,Not Applicable,November 2024
1 Victimisation Time and Place,Theft,November 2024,1,November 2024,Theft of motor vehicle parts or contents,Motor vehicle theft and related offences,Beerescourt.,.,Community Location,901700,1,UNKNOWN,99,Hamilton City.,Not Applicable,November 2024
1 Victimisation Time and Place,Theft,November 2024,1,November 2024,Theft of motor vehicle parts or contents,Motor vehicle theft and related offences,Beerescourt.,.,Community Location,902200,1,UNKNOWN,99,Hamilton City.,Not Applicable,November 2024
1 Victimisation Time and Place,Theft,November 2024,1,November 2024,Theft of motor vehicle parts or contents,Motor vehicle theft and related offences,Bryant.,.,Community Location,897802,1,UNKNOWN,99,Hamilton City.,Not Applicable,November 2024
1 Victimisation Time and Place,Theft,November 2024,1,November 2024,Theft of motor vehicle parts or contents,Motor vehicle theft and related offences,Chartwell.,.,Community Location,867700,1,UNKNOWN,99,Hamilton City.,Not Applicable,November 2024
1 Victimisation Time and Place,Theft,November 2024,1,November 2024,Theft of motor vehicle parts or contents,Motor vehicle theft and related offences,Chedworth.,.,Community Location,878402,1,UNKNOWN,99,Hamilton City.,Not Applicable,November 2024
1 Victimisation Time and Place,Theft,November 2024,1,November 2024,Theft of motor vehicle parts or contents,Motor vehicle theft and related offences,Clarkin.,.,Community Location,871300,1,UNKNOWN,99,Hamilton City.,Not Applicable,November 2024
1 Victimisation Time and Place,Theft,November 2024,1,November 2024,Theft of motor vehicle parts or contents,Motor vehicle theft and related offences,Claudelands.,.,Community Location,863900,1,UNKNOWN,99,Hamilton City.,Not Applicable,November 2024
1 Victimisation Time and Place,Theft,November 2024,1,November 2024,Theft of motor vehicle parts or contents,Motor vehicle theft and related offences,Claudelands.,.,Community Location,864200,1,UNKNOWN,99,Hamilton City.,Not Applicable,November 2024
1 Victimisation Time and Place,Theft,November 2024,1,November 2024,Theft of motor vehicle parts or contents,Motor vehicle theft and related offences,Crawshaw.,.,Community Location,906411,1,UNKNOWN,99,Hamilton City.,Not Applicable,November 2024
1 Victimisation Time and Place,Theft,November 2024,1,November 2024,Theft of motor vehicle parts or contents,Motor vehicle theft and related offences,Dinsdale North.,.,Community Location,920702,1,UNKNOWN,99,Hamilton City.,Not Applicable,November 2024
1 Victimisation Time and Place,Theft,November 2024,1,November 2024,Theft of motor vehicle parts or contents,Motor vehicle theft and related offences,Dinsdale North.,.,Community Location,978110,1,UNKNOWN,99,Hamilton City.,Not Applicable,November 2024
1 Victimisation Time and Place,Theft,November 2024,1,November 2024,Theft of motor vehicle parts or contents,Motor vehicle theft and related offences,Enderley.,.,Community Location,865100,1,UNKNOWN,99,Hamilton City.,Not Applicable,November 2024
1 Victimisation Time and Place,Theft,November 2024,1,November 2024,Theft of motor vehicle parts or contents,Motor vehicle theft and related offences,Fairview Downs.,.,Community Location,872400,1,UNKNOWN,99,Hamilton City.,Not Applicable,November 2024
1 Victimisation Time and Place,Theft,November 2024,1,November 2024,Theft of motor vehicle parts or contents,Motor vehicle theft and related offences,Flagstaff.,.,Community Location,952027,1,UNKNOWN,99,Hamilton City.,Not Applicable,November 2024
1 Victimisation Time and Place,Theft,November 2024,1,November 2024,Theft of motor vehicle parts or contents,Motor vehicle theft and related offences,Flagstaff.,.,Community Location,952033,1,UNKNOWN,99,Hamilton City.,Not Applicable,November 2024
1 Victimisation Time and Place,Theft,November 2024,1,November 2024,Theft of motor vehicle parts or contents,Motor vehicle theft and related offences,Flagstaff.,.,Community Location,952106,1,UNKNOWN,99,Hamilton City.,Not Applicable,November 2024
1 Victimisation Time and Place,Theft,November 2024,1,November 2024,Theft of motor vehicle parts or contents,Motor vehicle theft and related offences,Frankton Junction.,.,Community Location,915900,1,UNKNOWN,99,Hamilton City.,Not Applicable,November 2024
1 Victimisation Time and Place,Theft,November 2024,1,November 2024,Theft of motor vehicle parts or contents,Motor vehicle theft and related offences,Glenview.,.,Community Location,924706,1,UNKNOWN,99,Hamilton City.,Not Applicable,November 2024
1 Victimisation Time and Place,Theft,November 2024,1,November 2024,Theft of motor vehicle parts or contents,Motor vehicle theft and related offences,Grandview.,.,Community Location,906600,1,UNKNOWN,99,Hamilton City.,Not Applicable,November 2024
1 Victimisation Time and Place,Theft,November 2024,1,November 2024,Theft of motor vehicle parts or contents,Motor vehicle theft and related offences,Hamilton Central.,.,Community Location,908400,1,UNKNOWN,99,Hamilton City.,Not Applicable,November 2024
1 Victimisation Time and Place,Theft,November 2024,1,November 2024,Theft of motor vehicle parts or contents,Motor vehicle theft and related offences,Hamilton Central.,.,Community Location,908700,1,UNKNOWN,99,Hamilton City.,Not Applicable,November 2024
1 Victimisation Time and Place,Theft,November 2024,1,November 2024,Theft of motor vehicle parts or contents,Motor vehicle theft and related offences,Hamilton Central.,.,Community Location,910800,1,UNKNOWN,99,Hamilton City.,Not Applicable,November 2024
1 Victimisation Time and Place,Theft,November 2024,1,November 2024,Theft of motor vehicle parts or contents,Motor vehicle theft and related offences,Hamilton Lake.,.,Community Location,927503,1,UNKNOWN,99,Hamilton City.,Not Applicable,November 2024
1 Victimisation Time and Place,Theft,November 2024,1,November 2024,Theft of motor vehicle parts or contents,Motor vehicle theft and related offences,Hamilton Lake.,.,Community Location,929606,1,UNKNOWN,99,Hamilton City.,Not Applicable,November 2024
1 Victimisation Time and Place,Theft,November 2024,1,November 2024,Theft of motor vehicle parts or contents,Motor vehicle theft and related offences,Hamilton Lake.,.,Community Location,932400,1,UNKNOWN,99,Hamilton City.,Not Applicable,November 2024
1 Victimisation Time and Place,Theft,November 2024,1,November 2024,Theft of motor vehicle parts or contents,Motor vehicle theft and related offences,Horsham Downs.,.,Community Location,951913,1,UNKNOWN,99,Hamilton City.,Not Applicable,November 2024
1 Victimisation Time and Place,Theft,November 2024,1,November 2024,Theft of motor vehicle parts or contents,Motor vehicle theft and related offences,Insoll.,.,Community Location,874600,1,UNKNOWN,99,Hamilton City.,Not Applicable,November 2024
1 Victimisation Time and Place,Theft,November 2024,1,November 2024,Theft of motor vehicle parts or contents,Motor vehicle theft and related offences,Maeroa.,.,Community Location,902500,1,UNKNOWN,99,Hamilton City.,Not Applicable,November 2024
1 Victimisation Time and Place,Theft,November 2024,1,November 2024,Theft of motor vehicle parts or contents,Motor vehicle theft and related offences,Maeroa.,.,Community Location,904602,1,UNKNOWN,99,Hamilton City.,Not Applicable,November 2024
1 Victimisation Time and Place,Theft,November 2024,1,November 2024,Theft of motor vehicle parts or contents,Motor vehicle theft and related offences,Melville.,.,Community Location,927001,1,UNKNOWN,99,Hamilton City.,Not Applicable,November 2024
1 Victimisation Time and Place,Theft,November 2024,1,November 2024,Theft of motor vehicle parts or contents,Motor vehicle theft and related offences,Melville.,.,Community Location,927802,1,UNKNOWN,99,Hamilton City.,Not Applicable,November 2024
1 Victimisation Time and Place,Theft,November 2024,1,November 2024,Theft of motor vehicle parts or contents,Motor vehicle theft and related offences,Melville.,.,Community Location,928401,1,UNKNOWN,99,Hamilton City.,Not Applicable,November 2024
1 Victimisation Time and Place,Theft,November 2024,1,November 2024,Theft of motor vehicle parts or contents,Motor vehicle theft and related offences,Nawton.,.,Community Location,905200,1,UNKNOWN,99,Hamilton City.,Not Applicable,November 2024
1 Victimisation Time and Place,Theft,November 2024,1,November 2024,Theft of motor vehicle parts or contents,Motor vehicle theft and related offences,Naylor.,.,Community Location,880100,1,UNKNOWN,99,Hamilton City.,Not Applicable,November 2024
